COD_DPTO,year,Departamento,Zona,INSE,Lectura_critica,libros_1,libros_2,libros_3,libros_4,Porcentaje_flias_menos10libros
5,2018,Antioquia,Urbana-Rural,50.75565,52.732178,.41086981,.31235287,.21045198,.066325329,41.086979
5,2019,Antioquia,Urbana-Rural,51.057495,52.110832,.42838162,.30711755,.20219727,.062303562,42.838161
5,2020,Antioquia,Urbana-Rural,51.30035,51.904659,.44597802,.30421969,.19053987,.059262455,44.597801
8,2018,Atlántico,Urbana (>75% mpios),51.25848,52.08017,.40060303,.33543479,.20235729,.06160488,40.060303
8,2019,Atlántico,Urbana (>75% mpios),51.478634,51.706623,.43180084,.32374293,.18827273,.056183498,43.180084
8,2020,Atlántico,Urbana (>75% mpios),51.411362,51.752239,.45339775,.31910992,.17692281,.050569523,45.339775
11,2018,Bogotá,Urbana (>75% mpios),56.674038,56.396019,.22583458,.30303136,.33096126,.14017279,22.583458
11,2019,Bogotá,Urbana (>75% mpios),56.96167,55.96096,.23211484,.30294862,.32761821,.13731833,23.211483
11,2020,Bogotá,Urbana (>75% mpios),56.761913,55.803978,.24201424,.31181332,.32271108,.12346134,24.201424
13,2018,Bolívar,Urbana-Rural,48.353821,49.637714,.45946538,.31025416,.17134093,.058939528,45.946537
13,2019,Bolívar,Urbana-Rural,48.581947,49.031391,.48326296,.2978279,.16118923,.057719931,48.326294
13,2020,Bolívar,Urbana-Rural,48.778782,49.024857,.49678594,.29210013,.15668613,.05442781,49.678593
15,2018,Boyacá,Rural (>75% mpios),48.528019,54.49844,.34215954,.32080367,.25513938,.081897415,34.215954
15,2019,Boyacá,Rural (>75% mpios),49.077572,54.098976,.34690368,.32326707,.24923548,.08059378,34.690369
15,2020,Boyacá,Rural (>75% mpios),49.784294,53.827698,.35068238,.31830347,.25247526,.078538932,35.068237
17,2018,Caldas,Urbana-Rural,49.558849,52.883537,.44747964,.30110297,.18730028,.064117104,44.747963
17,2019,Caldas,Urbana-Rural,49.682846,52.182907,.47780019,.28335014,.18092835,.05792129,47.780018
17,2020,Caldas,Urbana-Rural,50.548458,52.736374,.46335816,.294846,.18451782,.057278033,46.335815
18,2018,Caquetá,Rural (>75% mpios),45.217281,50.088249,.46088958,.28220859,.18941718,.067484662,46.088959
18,2019,Caquetá,Rural (>75% mpios),45.438839,49.568844,.46023649,.29144448,.18270345,.065615579,46.023647
18,2020,Caquetá,Rural (>75% mpios),47.066402,49.844372,.45742995,.29534638,.1835008,.063722901,45.742996
19,2018,Cauca,Rural (>75% mpios),44.223507,49.450077,.49382523,.28207347,.16376936,.060331944,49.382523
19,2019,Cauca,Rural (>75% mpios),44.855724,49.053791,.51084059,.27455306,.15922403,.055382274,51.084061
19,2020,Cauca,Rural (>75% mpios),45.274063,49.306595,.48460993,.29449737,.16326852,.057624184,48.460995
20,2018,Cesar,Urbana-Rural,47.887398,50.721291,.47626621,.30883214,.16006698,.05483466,47.626621
20,2019,Cesar,Urbana-Rural,48.257084,50.617168,.49830398,.29760942,.15385237,.05023421,49.830399
20,2020,Cesar,Urbana-Rural,48.777023,50.63599,.50472701,.297066,.15167074,.046536267,50.472702
23,2018,Córdoba,Rural (>75% mpios),45.357491,50.436073,.49842027,.30147997,.15148827,.048611496,49.842026
23,2019,Córdoba,Rural (>75% mpios),45.719765,50.280537,.52601779,.29355621,.13653275,.043893233,52.60178
23,2020,Córdoba,Rural (>75% mpios),46.115273,49.738365,.51776755,.29964465,.13733278,.045255017,51.776756
25,2018,Cundinamarca,Rural (>75% mpios),50.991932,53.713913,.3111369,.32559732,.27379572,.089470081,31.113689
25,2019,Cundinamarca,Urbana-Rural,51.598167,53.364559,.31697765,.3263073,.26975352,.08696153,31.697765
25,2020,Cundinamarca,Urbana-Rural,52.59436,53.729912,.3133381,.32880387,.26998034,.087877706,31.333811
27,2018,Chocó,Rural (>75% mpios),46.089466,45.051743,.51138353,.27570677,.14761071,.065298975,51.138351
27,2019,Chocó,Rural (>75% mpios),45.774475,43.631752,.55401921,.26083899,.11530349,.069838293,55.40192
27,2020,Chocó,Rural (>75% mpios),47.255573,44.433529,.52570599,.26092204,.14965001,.06372194,52.570599
41,2018,Huila,Rural (>75% mpios),46.880344,52.532917,.41167757,.31361085,.20743686,.067274712,41.167755
41,2019,Huila,Rural (>75% mpios),47.353741,52.42387,.42637989,.31244218,.19642307,.064754859,42.637989
41,2020,Huila,Rural (>75% mpios),48.265511,52.506664,.42492175,.32180017,.19465359,.058624484,42.492176
44,2018,La Guajira,Rural (>75% mpios),47.000629,47.31538,.45925432,.31611186,.15992011,.064713717,45.925434
44,2019,La Guajira,Rural (>75% mpios),46.874832,46.955112,.48909619,.29383588,.15151897,.065548971,48.909618
44,2020,La Guajira,Rural (>75% mpios),47.873432,47.691856,.48045856,.30771235,.1487754,.063053675,48.045856
47,2018,Magdalena,Urbana-Rural,47.399376,48.298004,.46291986,.30954438,.16907217,.058463585,46.291985
47,2019,Magdalena,Urbana-Rural,47.928341,47.973736,.4997339,.29044706,.15746407,.052354977,49.973389
47,2020,Magdalena,Rural (>75% mpios),48.078941,48.10154,.49658313,.2974005,.15369155,.052324802,49.658314
50,2018,Meta,Urbana-Rural,50.108707,53.071018,.36452934,.31405184,.24538426,.076034561,36.452934
50,2019,Meta,Urbana-Rural,50.116695,52.420055,.39060232,.31345579,.22768047,.06826143,39.06023
50,2020,Meta,Urbana-Rural,51.257629,52.612206,.39170387,.32344449,.21860506,.066246606,39.170387
52,2018,Nariño,Rural (>75% mpios),44.810062,51.831779,.46512225,.30302253,.17326574,.058589488,46.512226
52,2019,Nariño,Rural (>75% mpios),45.239559,51.385609,.46547687,.30725902,.17112841,.056135688,46.547688
52,2020,Nariño,Rural (>75% mpios),45.766319,51.875488,.45405298,.30988121,.18176478,.054301005,45.4053
54,2018,Norte de Santander,Urbana-Rural,48.193256,53.963173,.46320835,.31061462,.17521849,.050958555,46.320835
54,2019,Norte de Santander,Urbana-Rural,48.630722,53.388912,.48602122,.29418829,.17174885,.048041634,48.602123
54,2020,Norte de Santander,Urbana-Rural,48.910236,53.260746,.50172293,.29441765,.16126809,.042591315,50.172295
63,2018,Quindío,Urbana (>75% mpios),51.214809,53.785225,.45815191,.28898564,.19416223,.058700211,45.815189
63,2019,Quindío,Urbana (>75% mpios),51.5676,53.219955,.46778286,.29477423,.17419246,.063250467,46.778286
63,2020,Quindío,Urbana (>75% mpios),52.024456,53.499657,.48034397,.2918568,.17023517,.057564057,48.034397
66,2018,Risaralda,Urbana-Rural,51.438854,53.680679,.38693017,.31512564,.2218691,.076075085,38.693016
66,2019,Risaralda,Urbana-Rural,51.623711,53.102135,.40381214,.31027707,.21507172,.070839062,40.381214
66,2020,Risaralda,Urbana-Rural,52.116364,53.284546,.41978928,.31041598,.20527859,.064516127,41.978928
68,2018,Santander,Urbana-Rural,50.325932,55.236408,.42283505,.3118467,.2036203,.061697967,42.283504
68,2019,Santander,Urbana-Rural,50.642445,55.196709,.44219303,.30072963,.200542,.056535333,44.219303
68,2020,Santander,Urbana-Rural,51.020988,54.98283,.44660819,.30918041,.19221057,.052000854,44.66082
70,2018,Sucre,Rural (>75% mpios),45.895157,50.416981,.49309582,.30146515,.15790029,.047538739,49.309582
70,2019,Sucre,Rural (>75% mpios),46.147926,50.227329,.51863694,.28799841,.14309983,.050264813,51.863693
70,2020,Sucre,Rural (>75% mpios),46.881992,49.768906,.51721698,.29445621,.14389579,.044430982,51.721699
73,2018,Tolima,Rural (>75% mpios),48.539429,51.511909,.41328049,.31628674,.20383218,.066600591,41.328049
73,2019,Tolima,Rural (>75% mpios),49.154549,51.101772,.42586628,.31165758,.19850089,.063975275,42.586628
73,2020,Tolima,Urbana-Rural,49.628838,51.040359,.43369967,.31143916,.19763283,.057228327,43.369968
76,2018,Valle del Cauca,Urbana (>75% mpios),51.854073,53.574409,.39951703,.31592557,.20901529,.075542115,39.951702
76,2019,Valle del Cauca,Urbana (>75% mpios),52.240849,53.093269,.41924381,.30783856,.20307574,.069841884,41.924381
76,2020,Valle del Cauca,Urbana (>75% mpios),50.836025,53.17186,.44056365,.30085501,.19572249,.062858865,44.056366
81,2018,Arauca,Rural (>75% mpios),45.228973,51.356144,.49917519,.29495215,.15935335,.046519302,49.917519
81,2019,Arauca,Rural (>75% mpios),45.936253,50.710148,.51306564,.27501592,.1637986,.048119821,51.306564
81,2020,Arauca,Rural (>75% mpios),46.556458,50.305565,.49656594,.29670331,.15556319,.051167581,49.656593
85,2018,Casanare,Urbana-Rural,47.392456,52.072216,.42835933,.30512249,.21158129,.054936897,42.835934
85,2019,Casanare,Urbana-Rural,47.913292,51.717892,.43010947,.30845147,.20419882,.057240266,43.010948
85,2020,Casanare,Urbana-Rural,48.618343,51.880638,.41646123,.32277641,.20367911,.057083253,41.646122
86,2018,Putumayo,Rural (>75% mpios),42.272362,50.077377,.51131791,.29728371,.14512073,.046277665,51.13179
86,2019,Putumayo,Rural (>75% mpios),43.115116,49.884209,.51526719,.29089421,.15130861,.042529989,51.526718
86,2020,Putumayo,Rural (>75% mpios),44.69569,50.007576,.49346676,.30330831,.15318321,.050041702,49.346676
88,2018,San Andrés y Providencia,Urbana-Rural,52.741642,51.237797,.3847487,.31022531,.2235702,.081455804,38.474869
88,2019,San Andrés y Providencia,Urbana-Rural,53.468395,49.599682,.36930859,.35075885,.21079259,.069139965,36.930859
88,2020,San Andrés y Providencia,Rural (>75% mpios),52.946541,50.256325,.40341881,.30256411,.22222222,.071794875,40.341881
91,2018,Amazonas,Rural (>75% mpios),45.334854,46.916569,.41117477,.29942694,.19197708,.097421207,41.117477
91,2019,Amazonas,Rural (>75% mpios),44.880295,46.170181,.41451612,.31774193,.18709677,.080645159,41.451611
91,2020,Amazonas,Rural (>75% mpios),47.030525,47.833332,.38003838,.32053742,.21305183,.086372361,38.003838
94,2018,Guainía,Rural (>75% mpios),43.148689,50.795811,.54395604,.25824177,.13736264,.060439561,54.395603
